key,fuel_load_1hr,fuel_load_10hr,fuel_load_100hr,fuel_load_live_foliage,savr_1hr,savr_10hr,savr_100hr,savr_live_foliage,fuel_depth,moisture_of_extinction
91,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
1,0.74,0,0,0,3500,109,30,9999,1.0,12
2,2.00,1.00,0.50,0.50,3500,109,30,1500,1.0,15
3,3.01,0,0,0,1500,109,30,9999,2.5,25
4,5.01,4.01,2.00,5.01,2000,109,30,1500,6.0,20
5,1.00,0.50,0,2.00,2000,109,30,1500,2.0,20
6,1.50,2.50,2.00,0,1750,109,30,9999,2.5,25
7,1.13,1.87,1.50,0.37,1750,109,30,1550,2.5,40
8,1.50,1.00,2.50,0,2000,109,30,9999,0.2,30
9,2.92,0.41,0.15,0,2500,109,30,9999,0.2,25
10,3.01,2.00,5.01,2.00,2000,109,30,1500,1.0,25
11,1.50,4.51,5.51,0,1500,109,30,9999,1.0,15
12,4.01,14.03,16.53,0,1500,109,30,9999,2.3,20
13,7.01,23.04,28.05,0,1500,109,30,9999,3.0,25
